Class,DEM,NDVI,NDWI,SAVI,VALUE,blue,green,.geo
Rice,10,0.336601238,-0.32134108,0.212300354,1,0.078965787,0.107472649,"{""type"":""Point"",""coordinates"":[105.96254136695246,21.064887017600448]}"
Rice,2,0.394754827,-0.290462669,0.251210995,1,0.066133014,0.105463443,"{""type"":""Point"",""coordinates"":[106.24158299267499,21.04383560152713]}"
Rice,3,0.366756319,-0.332341244,0.236624301,1,0.067588584,0.105467278,"{""type"":""Point"",""coordinates"":[106.24187283424348,21.04383114242608]}"
Rice,3,0.402722666,-0.349890187,0.258714832,1,0.063710729,0.10311626,"{""type"":""Point"",""coordinates"":[106.24215821671092,21.043831142426075]}"
Rice,2,0.376896301,-0.339138891,0.241256843,1,0.064872617,0.104736642,"{""type"":""Point"",""coordinates"":[106.24157853357396,21.043563596362866]}"
Rice,3,0.375827076,-0.35796601,0.241604238,1,0.064582694,0.101869205,"{""type"":""Point"",""coordinates"":[106.24186837514243,21.04355913726182]}"
Rice,4,0.398097766,-0.364133116,0.253076619,1,0.061674505,0.100629538,"{""type"":""Point"",""coordinates"":[106.24215821671092,21.04355913726182]}"
Rice,4,0.407400905,-0.366589763,0.258116549,1,0.061287551,0.099771736,"{""type"":""Point"",""coordinates"":[106.2424480582794,21.043554678160767]}"
Rice,2,0.401980789,-0.35186856,0.249990404,1,0.05876372,0.101202962,"{""type"":""Point"",""coordinates"":[106.24157853357396,21.043291591198617]}"
Rice,3,0.402554309,-0.363687379,0.254507151,1,0.060801015,0.100246499,"{""type"":""Point"",""coordinates"":[106.24186837514243,21.04328713209756]}"
Rice,4,0.395585665,-0.367962643,0.253670449,1,0.063323235,0.10089848,"{""type"":""Point"",""coordinates"":[106.24215375760984,21.04328713209756]}"
Rice,4,0.404541085,-0.347515475,0.270193715,1,0.065651585,0.103827859,"{""type"":""Point"",""coordinates"":[106.24244359917832,21.04328713209756]}"
Rice,6,0.468355938,-0.300102609,0.309747491,1,0.058150925,0.09903758,"{""type"":""Point"",""coordinates"":[106.05033660759376,21.025606796420647]}"
Rice,4,0.471446443,-0.313780603,0.31142642,1,0.059162406,0.097863317,"{""type"":""Point"",""coordinates"":[106.0506219900612,21.025606796420647]}"
Rice,5,0.414934531,-0.323020135,0.269188035,1,0.062754456,0.095971607,"{""type"":""Point"",""coordinates"":[106.05091183162966,21.02560679642065]}"
Rice,9,0.466922816,-0.301371539,0.311085755,1,0.059577278,0.10073417,"{""type"":""Point"",""coordinates"":[106.05004230692424,21.025339250357437]}"
Rice,7,0.45784743,-0.299948829,0.306393133,1,0.06439174,0.100802954,"{""type"":""Point"",""coordinates"":[106.05033214849271,21.02533925035744]}"
