"Value","Class","Type"
0.451446927,"NDWI-Water","Non-rice"
0.446720346,"NDWI-Water","Non-rice"
0.453891472,"NDWI-Water","Non-rice"
0.464167866,"NDWI-Water","Non-rice"
0.4517506,"NDWI-Water","Non-rice"
0.434797904,"NDWI-Water","Non-rice"
0.442313793,"NDWI-Water","Non-rice"
0.442756842,"NDWI-Water","Non-rice"
0.430423854,"NDWI-Water","Non-rice"
0.433691765,"NDWI-Water","Non-rice"
0.433693244,"NDWI-Water","Non-rice"
0.429246508,"NDWI-Water","Non-rice"
0.430441064,"NDWI-Water","Non-rice"
0.432025629,"NDWI-Water","Non-rice"
0.440735281,"NDWI-Water","Non-rice"
0.431787336,"NDWI-Water","Non-rice"
0.426677008,"NDWI-Water","Non-rice"
0.451857378,"NDWI-Water","Non-rice"
0.46303481,"NDWI-Water","Non-rice"
0.444524783,"NDWI-Water","Non-rice"
0.465925103,"NDWI-Water","Non-rice"
0.474647598,"NDWI-Water","Non-rice"
0.469082668,"NDWI-Water","Non-rice"
0.453002396,"NDWI-Water","Non-rice"
0.435099567,"NDWI-Water","Non-rice"
0.305743044,"NDWI-Water","Non-rice"
0.298872444,"NDWI-Water","Non-rice"
0.288398233,"NDWI-Water","Non-rice"
0.30868718,"NDWI-Water","Non-rice"
0.288111899,"NDWI-Water","Non-rice"
0.307423647,"NDWI-Water","Non-rice"
0.403240401,"NDWI-Water","Non-rice"
0.44537743,"NDWI-Water","Non-rice"
0.445378589,"NDWI-Water","Non-rice"
0.428533979,"NDWI-Water","Non-rice"
0.432192377,"NDWI-Water","Non-rice"
0.456490785,"NDWI-Water","Non-rice"
0.471120554,"NDWI-Water","Non-rice"
0.437471829,"NDWI-Water","Non-rice"
0.438465874,"NDWI-Water","Non-rice"
0.45405021,"NDWI-Water","Non-rice"
0.410283621,"NDWI-Water","Non-rice"
0.441934444,"NDWI-Water","Non-rice"
0.434677469,"NDWI-Water","Non-rice"
0.427040958,"NDWI-Water","Non-rice"
0.433815435,"NDWI-Water","Non-rice"
0.426139188,"NDWI-Water","Non-rice"
0.426140675,"NDWI-Water","Non-rice"
0.433434094,"NDWI-Water","Non-rice"
0.432687136,"NDWI-Water","Non-rice"
0.434188428,"NDWI-Water","Non-rice"
0.418720728,"NDWI-Water","Non-rice"
0.40543483,"NDWI-Water","Non-rice"
0.447009104,"NDWI-Water","Non-rice"
0.461792276,"NDWI-Water","Non-rice"
0.460976685,"NDWI-Water","Non-rice"
0.455159578,"NDWI-Water","Non-rice"
0.4671836,"NDWI-Water","Non-rice"
0.470281558,"NDWI-Water","Non-rice"
0.463750621,"NDWI-Water","Non-rice"
0.453069478,"NDWI-Water","Non-rice"
0.447085808,"NDWI-Water","Non-rice"
0.317524574,"NDWI-Water","Non-rice"
0.311456627,"NDWI-Water","Non-rice"
0.305255,"NDWI-Water","Non-rice"
0.308045185,"NDWI-Water","Non-rice"
0.344394749,"NDWI-Water","Non-rice"
0.361669486,"NDWI-Water","Non-rice"
0.367668319,"NDWI-Water","Non-rice"
0.41400623,"NDWI-Water","Non-rice"
0.405015006,"NDWI-Water","Non-rice"
0.424208388,"NDWI-Water","Non-rice"
0.434451696,"NDWI-Water","Non-rice"
0.469571014,"NDWI-Water","Non-rice"
0.469941394,"NDWI-Water","Non-rice"
0.423916465,"NDWI-Water","Non-rice"
0.407639669,"NDWI-Water","Non-rice"
0.400221877,"NDWI-Water","Non-rice"
0.376197129,"NDWI-Water","Non-rice"
0.423232771,"NDWI-Water","Non-rice"
0.426574735,"NDWI-Water","Non-rice"
0.427125758,"NDWI-Water","Non-rice"
0.426194458,"NDWI-Water","Non-rice"
0.44589445,"NDWI-Water","Non-rice"
0.445896548,"NDWI-Water","Non-rice"
0.435945586,"NDWI-Water","Non-rice"
0.426588085,"NDWI-Water","Non-rice"
0.467178509,"NDWI-Water","Non-rice"
0.473451826,"NDWI-Water","Non-rice"
0.455156701,"NDWI-Water","Non-rice"
0.457418292,"NDWI-Water","Non-rice"
0.449968107,"NDWI-Water","Non-rice"
0.464570399,"NDWI-Water","Non-rice"
0.469444673,"NDWI-Water","Non-rice"
0.472278746,"NDWI-Water","Non-rice"
0.488877105,"NDWI-Water","Non-rice"
0.508700716,"NDWI-Water","Non-rice"
0.467740945,"NDWI-Water","Non-rice"
0.467742355,"NDWI-Water","Non-rice"
0.332471421,"NDWI-Water","Non-rice"
0.429028763,"NDWI-Water","Non-rice"
